"trial_type","trial_index","time_elapsed","internal_node_id","PROLIFIC_PID","STUDY_ID","SESSION_ID","rt","stimulus","button_pressed","success","key_press","responses","isData","view_history","response_type","avg_frame_time","center_x","center_y","isSC","stim_side","trial_luminance","step_size","nReversal","correct","prev_ans","isThreshold","SC_threshold","final_threshold","isLuminance","FF_luminance","luminance","stimSide","ISInt","isFF","question_order","isSPQ","isCAPS","isAQ"
"psychophysics","20","224866","0.0-6.0-0.14","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","159.29999995231628","","","","37","","","","key","16.66733333333294","683","312.5","true","-1","141.9024","9.8304","5","-1","1","","","","","","","","","","","","",""
"psychophysics","21","226001","0.0-6.0-0.15","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","126.39999997615814","","","","39","","","","key","16.666462686567034","683","312.5","true","1","141.9024","7.864319999999999","6","-1","-1","","","","","","","","","","","","",""
"psychophysics","22","227599","0.0-6.0-0.16","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","586.8000000715256","","","","37","","","","key","16.665736842105215","683","312.5","true","1","134.03808","6.291456","7","1","-1","","","","","","","","","","","","",""
"psychophysics","23","228642","0.0-6.0-0.17","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","38.799999952316284","","","","39","","","","key","16.66744262295046","683","312.5","true","1","140.32953600000002","6.291456","7","-1","1","","","","","","","","","","","","",""
"psychophysics","24","231746","0.0-6.0-0.18","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","2093.5","","","","39","","","","key","16.666805405405388","683","312.5","true","-1","140.32953600000002","5.033164800000001","8","1","-1","","","","","","","","","","","","",""
"psychophysics","25","235008","0.0-6.0-0.19","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","2253","","","","39","","","","key","16.663558974358974","683","312.5","true","1","145.36270080000003","5.033164800000001","8","-1","1","","","","","","","","","","","","",""
"psychophysics","26","237925","0.0-6.0-0.20","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","1909.8999999761581","","","","39","","","","key","16.666580459770035","683","312.5","true","-1","145.36270080000003","4.0265318400000005","9","1","-1","","","","","","","","","","","","",""
"psychophysics","27","239166","0.0-6.0-0.21","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","227","","","","39","","","","key","16.66745945945936","683","312.5","true","1","149.38923264000002","4.0265318400000005","9","-1","1","","","","","","","","","","","","",""
"psychophysics","28","242273","0.0-6.0-0.22","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","2102.100000023842","","","","37","","","","key","16.66650810810813","683","312.5","true","1","149.38923264000002","3.2212254720000004","10","1","-1","","","","","","","","","","","","",""
"psychophysics","29","243466","0.0-6.0-0.23","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","187","","","","37","","","","key","16.662859154929503","683","312.5","true","-1","152.610458112","3.2212254720000004","10","-1","1","","","","","","","","","","","","",""
